id;de;fr;en;it;
E16.textInfo.text.1;"Hecke mit heimischen Sträuchern bieten Tieren nicht nur ein Versteck, sondern auch Nahrung: Necktar und Pollen für Insekten, Früchte für Vögel und kleine Säugetiere. Im Unterschied dazu bieten Hecken aus gebietsfremden Pflanzen kaum Nahrung.";;"Hedges with native shrubs offer animals not only a hiding place, but also food: nectar and pollen for insects, fruits for birds and small mammals. In contrast, hedges of non-native plants offer little food.";;
E16.textInfo.text.2;"Hecke aus Kirschlorbeer, ein schädlicher gebietsfremder Strauch";;"Hedge of cherry laurel, a harmful non-native shrub";;
E16a.text;16a: In der Hecke sind insgesamt mehr als 5 verschiedene heimische Straucharten vorhanden.;;"16a: In total, more than 5 different native shrub species are present in the hedge.";;
E16a.options.label.0;Ja;;Yes;;
E16a.options.label.1;Nein;;No;;
E16b.text;16b: Eine Hecke ist mindestens 2 Meter breit und 10 Meter lang.;;16b: A hedge is at least 2 metres wide and 10 metres long.;;
E16b.options.label.0;Ja;;Yes;;
E16b.options.label.1;Nein;;No;;
T10.title;Vielfalt an einem Ort (17);;Diversity in one place (17);;
E17.text;"17: Sind Bäume, Sträucher und heimische Kräuter, Blumen oder Gräser zusammen an einem Ort anzutreffen?";;"17: Are trees, shrubs and native herbs, flowers or grasses found together in one place?";;
E17.options.label.0;"Bäume, Sträucher und heimische Kräuter, Blumen oder Gräser sind nirgends zusammen anzutreffen.";;"Trees, shrubs and native herbs, flowers or grasses are nowhere to be found together.";;
E17.options.label.1;"Zwei der drei Elemente (1. Bäume, 2. Sträucher und 3. heimische Kräuter, Blumen oder Gräser) kommen zusammen vor. Alle drei Elemente kommen jedoch nirgends alle zusammen vor.";;"Only two of the three elements (1. trees, 2. shrubs and 3. native herbs, flowers or grasses) occur together. However, all three elements do not occur together anywhere.";;
E17.options.label.2;"Bäume, Sträucher und heimische Kräuter, Blumen oder Gräser kommen alle zusammen an einer Stelle vor.";;"Trees, shrubs and native herbs, flowers or grasses all appear together in one place.";;
E17.options.label.3;"Bäume, Sträucher und heimische Kräuter, Blumen oder Gräser kommen alle zusammen an mehr als einer Stelle vor.";;"Trees, shrubs and native herbs, flowers or grasses all occur together in more than one place.";;
E17.textInfo.text.1;"Kommen unterschiedliche Elemente wie Bäume, Sträucher sowie Kräuter, Gräser und Blumen alle an der gleichen Stelle vor, so finden auch mehr Lebewesen einen Lebensraum mit Nahrung und Versteck. Deshalb ist es wichtig, dass Bäume, Sträucher und Kräuter an manchen Stellen zusammen vorkommen: <br> Kräuter, Gräser und Blumen unter Bäumen";;;;
E17.textInfo.text.2;Krautsaum unter Sträuchern;;Herbaceous border under shrubs;;
E17.textInfo.text.3;Sträucher zusammen mit Bäumen;;Shrubs together with trees;;
E17.textInfo.text.4;"alle drei Elemente (Bäume, Sträucher und heimische Kräuter, Blumen oder Gräser) an derselben Stelle";;"all three elements (trees, shrubs and native herbs, flowers or grasses) in the same place";;
T11.title;Ruderalflächen (18);;Ruderal areas (18);;
E18.text;18: Gibt es auf der Untersuchungsfläche Ruderalflächen mit passenden heimischen Pflanzen?;;18: Are there ruderal areas with suitable native plants on the study site?;;
E18.options.label.0;Keine Ruderalfläche vorhanden.;;No ruderal area is present.;;
E18.options.label.1;Ruderalfläche vorhanden. Darin kommen aber schädliche gebietsfremden Pflanzen vor..;;"Ruderal area is present. However, harmful non-native plants occur in this area.";;
E18.options.label.2;Ruderalfläche ist insgesamt etwa so gross wie zwei Autoparkplätze.;;Ruderal area is in total about the size of two car parking spaces.;;
E18.options.label.3;Ruderalfläche ist insgesamt etwa so gross wie zwei Autoparkplätze.;;;;
E18.options.label.4;Ruderalfläche ist insgesamt grösser als vier Autoparkplätze.;;Ruderal area is altogether larger than four car parking spaces.;;
E18.textInfo.text.1;"Ruderalflächen sind offene Bodenflächen auf denen keine Pflanzen angepflanzt wurden. Beispiele von Ruderalflächen:";;"Ruderal areas are open ground areas where no plants have been planted. Examples of ruderal areas:";;
E18.textInfo.text.2;Flächen mit Geröll;;Areas with boulders;;
E18.textInfo.text.3;"Kiesflächen, die nicht als Parkplatz genutzt werden";;Gravel areas that are not used as parking spaces;;
E18.textInfo.text.4;Sandflächen ohne Sprunggrube für Sport;;Sand areas without jumping pit for sports;;
E18.textInfo.text.5;Ruderalflächen bieten ein Zuhause für ganz spezielle Pflanzen und Tiere.;;Ruderal areas provide a home for very special plants and animals.;;
T12.title;"Trockenmauern, Steinhaufen (19)";;"Dry stone walls, piles of rock (19)";;
E19.text;19: Gibt es auf der Untersuchungsfläche Trockenmauern oder Steinhaufen?;;19: Are there dry stone walls or piles of rocks on the study site?;;
E19.options.label.0;Keine Trockenmauern oder Steinhaufen vorhanden.;;No dry stone walls or piles of rocks present.;;
E19.options.label.1;1 Trockenmauer oder Steinhaufen vorhanden.;;1 dry stone wall or pile of rocks present.;;
E19.options.label.2;2 Trockenmauern oder Steinhaufen vorhanden.;;2 dry stone walls or pile of rocks present.;;
E19.options.label.3;Mehr als 2 Trockenmauern oder Steinhaufen vorhanden.;;More than 2 dry stone wall or pile of rocks present.;;
E19.textInfo.text.1;"Trockenmauern und Steinhaufen bieten ein sicheres Versteck für Frösche, Kröten, Eidechsen und Schlangen aber auch für Wiesel, Schläfer und Mausarten. Viele dieser Tiere überwitntern auch in Trockenmauern oder Steinhaufen.";;"Dry stone walls and piles of rock provide a safe hiding place for frogs, toads, lizards and snakes, but also for weasels, dormice and mice. Many of these animals also hibernate in dry stone walls or piles of rocks.";;
E19.textInfo.text.2;Steinhaufen;;Piles of rocks;;
E19.textInfo.text.3;Trockenmauer;;Dry stone wall;;
T13.title;"Asthaufen, Totholz (20)";;"Piles of branches, deadwood (20)";;
E20.text;"20: Gibt es auf der Untersuchungsfläche Asthaufen, abgestorbene Bäume oder Totholz?";;"20: Are there any piles of branches, dead trees or deadwood on the study site?";;
E20.options.label.0;"Keine Asthaufen, abgestorbene Bäume oder Totholz vorhanden.";;"No piles of branches, dead trees or deadwood present.";;
E20.options.label.1;"1 Asthaufen, abgestorbener Baum oder Totholzelement vorhanden.";;"1 pile of branches, dead tree or deadwood element present.";;
E20.options.label.2;"2 Asthaufen, abgestorbene Bäume oder Totholzelemente vorhanden.";;"2 pile of branches, dead tree or deadwood element present.";;
E20.options.label.3;"Mehr als 2 Asthaufen, abgestorbene Bäume oder Totholzelemente vorhanden.";;"More than 2 pile of branches, dead tree or deadwood element present.";;
E20.textInfo.text.1;Asthaufen;;Pile of branches;;
E20.textInfo.text.2;"Asthaufen bieten ein Versteck für Igel, Mäuse aber auch für Blindschleichen sowie Kröten, Frösche und Molche.";;"Piles of branches provide a hiding place for hedgehogs, mice but also for slow worms as well as toads, frogs and newts.";;
E20.textInfo.text.3;Totholz;;Deadwood;;
E20.textInfo.text.4;"Totholz und abgestorbene Bäume sind der Lebensraum für zahlreiche Insekten, Pilze und Moose.";;"Deadwood and dead trees are the habitat for numerous insects, fungi and mosses.";;
T14.title;"Künstliche Nisthilfen (21, 22, 23)";;"Artificial nesting aids (21, 22, 23)";;
E21.text;21: Gibt es auf der Untersuchungsfläche künstliche Nisthilfen für Insekten?;;21: Are there artificial nesting boxes for insects on the study site?;;
E21.options.label.0;Keine künstliche Nisthilfen für Insekten vorhanden.;;No artificial nesting boxes for insects are available.;;
E21.options.label.1;1 - 3 künstliche Nisthilfen für Insekten vorhanden.;;1 - 3 artificial nesting boxes for insects are available.;;
E21.options.label.2;Mehr als 3 künstliche Nisthilfen für Insekten vorhanden.;;More than 3 artificial nesting boxes for insects are available.;;
E21.textInfo.text.1;"Insekten spielen eine ganz wichtige Rolle in Nahrungsnetzen:<br> Insekten sind wichtig für die Bestäubung von vielen Pflanzen. Insekten sind auch Nahrung für viele Tiere.";;"Insects play a very important role in food webs:<br>. Insects are important for the pollination of many plants. Insects are also food for many animals.";;
E21.textInfo.text.2;Insektenhotel;;Insect hotel;;
E21.textInfo.text.3;Lebensturm;;Life tower;;
E22.text;22: Gibt es auf der Untersuchungsfläche künstliche Nisthilfen für Vögel?;;22: Are there artificial nesting places for birds on the study site?;;
E22.options.label.0;Keine künstliche Nisthilfen für Vögel vorhanden.;;No artificial nesting places for birds are available.;;
E22.options.label.1;1 - 3 künstliche Nisthilfen für Vögel vorhanden.;;1 - 3 artificial nesting places for birds are available.;;
E22.options.label.2;Mehr als 3 künstliche Nisthilfen für Vögel vorhanden.;;More than 3 artificial nesting places for birds are available.;;
E22.textInfo.text.1;"Viele Vögel finden keine guten Möglichkeiten, um ihr Nest zu bauen. Nistkästen können hier Abhilfe schaffen:";;Many birds do not find any good places to build their nests. Nesting boxes can help here:;;
E22.textInfo.text.2;Nistkasten für Höhlenbrüter;;Nesting box for hole-nesting birds;;
E22.textInfo.text.3;Nisthilfe für Mehlschwalben;;Nesting box for House Martins;;
E23.text;23: Gibt es auf der Untersuchungsfläche künstliche Nisthilfen für kleine Säugetiere?;;23: Are there artificial nesting boxes for small mammals on the study site?;;
E23.options.label.0;Keine künstliche Nisthilfen für kleine Säugetiere vorhanden.;;No artificial nesting boxes for small mammals are available.;;
E23.options.label.1;1 - 3 künstliche Nisthilfen für kleine Säugetiere vorhanden.;;1 - 3 artificial nesting boxes for small mammals are available.;;
E23.options.label.2;Mehr als 3 künstliche Nisthilfen für kleine Säugetiere vorhanden.;;More than 3 artificial nesting boxes for small mammals are available.;;
E23.textInfo.text.1;"Kleine Säugetiere wie Igel, Fledermäuse, Siebenschläfer und Mausarten brauchen Verstecke. Auch brauchen diese Tiere Plätze, wo sie ihre Jungen zur Welt bringen können.";;"Small mammals such as hedgehogs, bats, dormice and mouse species need hiding places. These animals also need places where they can give birth to their young.";;
E23.textInfo.text.2;Fledermauskasten;;Bat Boxes;;
E23.textInfo.text.3;Schlafplatz für Igel;;Sleeping place for hedgehogs;;
E23.textInfo.text.4;Versteck für Siebenschläfer;;Hiding place for dormice;;
T15.title;"Gewässer und Feuchtflächen (24, 25, 26)";;"Water bodies and wetlands (24, 25, 26)";;
E24.text;24: Gibt es Feuchtflächen auf der Untersuchungsfläche?;;24: Are there any wetland areas in the study area?;;
E24.options.label.0;Keine Feuchtflächen vorhanden.;;No wet areas are available.;;
E24.options.label.1;Feuchtflächen insgesamt etwa so gross wie ein Autoparkplatz.;;Wetland areas in total are about the size of a car parking space.;;
E24.options.label.2;Feuchtflächen insgesamt grösser als ein Autoparkplatz.;;Wetland areas are larger in total than a car parking space.;;
E24.textInfo.text.1;Feuchte Flächen bieten spezialisierten Tieren und Pflanzen ein Zuhause:;;Wet areas provide a home for species-specific animals and plants:;;
E24.textInfo.text.2;Sumpfstreifen;;Swamp strips;;
E24.textInfo.text.3;Moorwiese;;Moorland meadow;;
E25.text;25: Gibt es stehende Gewässer auf der Untersuchungsfläche?;;25: Is there stagnant water in the study area?;;
E25.options.label.0;Keine stehenden Gewässer vorhanden.;;No stagnant water is available.;;
E25.options.label.1;Fläche mit stehenden Gewässern  insgesamt etwa so gross wie 1 Autoparkplatz.;;The total area with stagnant waters is about the size of 1 car parking space.;;
E25.options.label.2;Fläche mit stehenden Gewässern  insgesamt etwa so gross wie 2 Autoparkplätze.;;The total area with stagnant water is about the size of 2 car parking spaces.;;
E25.options.label.3;Fläche mit stehenden Gewässern  insgesamt grösser als 2 Autoparkplätze.;;The total area of stagnant water is greater than 2 car parking spaces.;;
E25.textInfo.text.1;"Zahlreiche Lebewesen sind auf das Leben in Wasser spezialisiert. Bestimmte Insekten und Amphibien brauchen beispielsweise zur Fortpflanzung stehende Gewässer.";;"Numerous creatures are specialists in living in the water. Certain insects and amphibians, for example, need stagnant water to reproduce.";;
E25.textInfo.text.2;Tümpel;;Pond;;
E26.text;26: Gibt es Fliessgewässer auf der Untersuchungsfläche?;;26: Is there flowing water in the study area?;;
E26.options.label.0;Keine Fliessgewässer oder nur Fliessgewässer kürzer als 3 Meter vorhanden.;;No flowing water or only a stream of shorter than 3 metres are available.;;
E26.options.label.1;Ein oder mehrere Fliessgewässer von insgesamt mehr als 3 Meter Länge vorhanden.;;One or more streams of more than 3 metres in total length are available.;;
E26.textInfo.text.1;Zahlreiche fliegende Insekten verbringen einen Teil ihrer Entwicklung in fliessenden Gewässer.;;Many flying insects spend part of their development in flowing water.;;
E26.textInfo.text.2;kleines Bächlein;;small streamlet;;
T16.title;Umgebung (27);;Surroundings (27);;
E27.text;27: Ist die Untersuchungsfläche umgeben von intensiver Landwirtschaft oder überbautem Gebiet?;;27: Is the study area surrounded by intensive agriculture or built-up area?;;
E27.options.label.0;Die Untersuchungsfläche ist zu ungefähr drei Viertel oder mehr umgeben von intensiver Landwirtschaft oder überbautem Gebiet.;;About three-quarters or more of the study area is surrounded by intensive agriculture or built-up areas.;;
E27.options.label.1;Die Untersuchungsfläche ist zu einem Viertel bis zu drei Viertel umgeben von intensiver Landwirtschaft oder überbautem Gebiet.;;One-quarter to three-quarters of the study area is surrounded by intensive agriculture or built-up areas.;;
E27.options.label.2;Die Untersuchungsfläche ist zu weniger als einem Viertel umgeben von intensiver Landwirtschaft oder überbautem Gebiet.;;Less than a quarter of the study area is surrounded by intensive agriculture or built-up areas.;;
E27.textInfo.text.1;"Chemische Mittel der intensiven Landwirtschaft töten nicht nur so genannte Schädlinge, sondern auch sehr viele andere Lebewesen. Düngemittel sorgen zudem dafür, dass nur einige wenige Pflanzen sehr stark wachsen. Alle diese Mittel gelangen über die Luft und das Wasser auch in die Umgebung. Zahlreiche Lebewesen können in überbauten Gebieten nicht überleben.";;"Chemical agents of intensive agriculture kill not only so-called pests, but also many other living organisms. Fertilisers also ensure that only a few crops grow very strongly. All these substances enter the environment through the air and water.
Many living organisms cannot survive in built-up areas.";;
P03.title;Pflege;;;;
T17.title;"Mähen von Rasen und Wiesen OHNE Sportrasen (28, 29)";;;;
E28.text;"28: Mit welchen Geräten werden Grasflächen (ohne Sportrasen) geschnitten? Stelle mit dem Regler ein, auf welchem Anteil der Grasflächen mit mit Sense oder Balkenmäher  gemäht wird:";;;;
E28.textInfo.text.1;"Rasentraktor, Ride-on Mäher";;;;
E28.textInfo.text.2;Rasenmäher;;;;
E28.textInfo.text.3;"Fadenmäher, Motorsense";;;;
