E09.options.label.4;mehr als 50 verschiedene Arten;plus de 50 espèces différentes;more than 50 different species;più di 50 specie diverse;
E09.text;09: Wie viele verschiedene Arten von Wildpflanzen wachsen auf der gesamten Untersuchungsfläche?;09 : combien d'espèces différentes de plantes sauvages poussent sur l'ensemble de la zone d'étude?;09: How many different species of wild plants grow on the entire study area?;09: Quante specie diverse di piante selvatiche crescono nell'intera area oggetto di studio?;
E09.textInfo.linkText;Hinweise zur Bestimmung von Pflanzen;Indications pour l'identification des plantes;Notes on the identification of plants;Note sull'identificazione delle piante;
E09.textInfo.text.1;Benutze zur Bestimmung von Pflanzen ein Bestimmungsbuch mit farbigen Bildern. Oder fotografiere die Pflanze. Bestimme dann deine Pflanze mit;"Pour identifier les plantes, utilise un guide d'identification avec des images en couleur. Ou alors, photographie la plante puis identifie-la ensuite avec ";Use an identification book with colored pictures to identify plants. Or take a picture of the plant. Then identify your plant with;"Per identificare le piante, utilizzate un libro di identificazione con immagini colorate. Oppure fotografate la pianta. Poi identificate la vostra pianta con";
E09.textInfo.text.2;oder verwende eine der folgenden beiden Apps:;ou utilisez l'une des deux applications suivantes:;or use one of the following two apps:;oppure utilizzare una delle due seguenti applicazioni:;
E10.options.label.0;keine;aucune;none;nessuno;
E10.options.label.1;eine Art von schädlichen gebietsfremden Pflanzen;une espèce de plante exotique invasive;a type of harmful non-native plant;una specie di neofita invasiva;
E10.options.label.2;mehr als eine Art von schädlichen gebietsfremden Pflanzen;plus d'une espèce de plante exotique invasive;more than one type of harmful non-native plant;più di una specie di neofita invasiva;
E10.text;10: Gibt es im Untersuchungsgebiet schädliche gebietsfremde Pflanzen?;10 : y a-t-il des plantes exotiques invasives dans la zone d'étude?;10: Are there any harmful non-native plants in the study area?;10: Nell'area oggetto di studio sono presenti piante non autoctone dannose?;
E10.textInfo.text.1;"Gebietsfremde Pflanzen sind Pflanzen, die natürlicher Weise nicht hier wachsen. Sie werden Neophyten genannt. Die meisten Neophyten sind harmlos. Es gibt aber Neophyten, die Probleme bereiten. Solche Neophyten sind schädlich. Die wichtigsten schädlichen Neophyten findest du unter:";Les plantes exotiques sont des plantes qui ne poussent pas naturellement ici. Elles sont appelées néophytes. La plupart des néophytes sont inoffensives. Mais certainent posent  problème. Voici les principales néophytes invasives:;"Non-native plants are plants that do not grow naturally in the area. They are called neophytes. Most neophytes are harmless. However, some neophytes cause problems. Such neophytes are harmful. You can find the most important harmful neophytes under:";"Le piante esotiche sono piante che non crescono naturalmente qui. Sono chiamate neofite. La maggior parte delle neofite è innocua. Tuttavia, ci sono neofite che sono dannose e causano problemi. Le principali neofite dannose si trovano sotto:";
E10.textInfo.text.2;Beilage:;Annexe:;enclosure:;Allegato:;
E10a.options.label.0;kleiner als ein Parkplatz für ein Auto;plus petit qu'une place de parc pour une voiture;smaller than a parking space for one car;più piccola di un parcheggio per un'auto;
E10a.options.label.1;grösser als ein Parkplatz für ein Auto;Plus grand qu'une place de parc pour une voiture;Larger than a parking space for one car;più grande di uno spazio di parcheggio per un'auto;
E10a.text;"10a: Wie gross ist die Fläche, die insgesamt durch alle schädlichen gebietsfremden Pflanzen bedeckt wird?";10a : quelle est la surface totale couverte par toutes les plantes exotiques invasives?;10a: What is the total area covered by all harmful non-native plants?;10a: Qual è l'area totale coperta da tutte le neofite invasive?;
E10b.listTypes.1;Amerikanische Goldruten;Solidage du Canada;Solidago canadensis;Verga d'oro americana;
E10b.listTypes.10;Andere;Autres;Others;Altro;
E10b.listTypes.2;Ambrosia;Ambroisie;Ambrosia;Ambrosia;
E10b.listTypes.3;Asiatische Staudenknöteriche;Renouée du Japon;Reynoutria japonica;Poligono del giappone;
E10b.listTypes.4;Drüsiges Springkraut;Impatiente glanduleuse;Impatiens glandulifera;Balsamina ghiandolosa;
E10b.listTypes.5;Einjähriges Berufskraut;Vergerette annuelle;Annual fleabane;Erba annuale professionale;
E10b.listTypes.6;Kirschlorbeer;Laurier-cerise;Prunus laurocerasus;Alloro ciliegia;
E10b.listTypes.7;Sommerflieder;Buddléia de David;Buddleja;Buddleja;
E10b.listTypes.8;Götterbaum;Ailante;Ailanthus altissima;Ailanto;
E10b.listTypes.9;Robinie;Robinier;Robinia;Robinia;
E10b.nameDisplay;Neophyten;Néophytes;Neophytes;Neofite;
E10b.nameListTypes;Pflanzenarten;Espèces végétales;Plant species;Specie vegetale;
E10b.text;"10b: Markiere alle Standorte mit schädlichen gebietsfremden Pflanzen und wähle alle Arten von Neophyten aus, die im Untersuchungsgebiet vorkommen. Das Dokument mit den Zusatzinfos zeigt dir die häufigsten und schädlichsten Neophyten.";10b : marque tous les sites présentant des plantes exotiques invasives et sélectionne toutes les espèces de néophytes présentes dans la zone d'étude. Le document avec les informations complémentaires te montre les néophytes les plus fréquentes et les plus invasives.;10b: Mark all locations with harmful alien plants and select all species of neophytes that occur in the study area. The additional info document will show you the most common and harmful neophytes.;10b: contrassegnare tutti i luoghi con neofite invasive dannose e selezionare tutte le specie di neofite presenti nell'area di studio. Il documento con le informazioni aggiuntive mostra le neofite più comuni e più dannose.;
E11.nameDisplay;Versiegelte Flächen;Surfaces imperméabilisées;Sealed surfaces;Superfici sigillate;
E11.text;11: Markiere versiegelte Flächen in der gezeigten Untersuchungsfläche. Dazu gehören auch alle Gebäudeflächen.;11 : marque les surfaces imperméables dans la zone d'étude représentée. Ceci inclut toutes les surfaces de bâtiments;11: Select the sealed surfaces in the area shown. This includes all building surfaces.;11: Contrassegna le superfici impervie nell'area di studio rappresentata. Sono incluse tutte le superfici degli edifici;
E12.nameDisplay;Rasenflächen;Surfaces de pelouse;Lawns;Prati;
E12.text;12: Markiere Flächen mit Rasen in der gezeigten Untersuchungsfläche.;12 : marque les zones de pelouse dans la zone d'étude représentée;12: Select the areas with lawns in the study area shown.;12: Selezionare le aree con prati nell'area oggetto di studio indicata;
E12.textInfo.text.1;"Sportrasen und Wiesen mit Gras, das immer kürzer ist als 10 cm. Solche Rasenflächen sind sehr arm an verschiedenen Lebewesen.";Gazons de sport et prairies dont l'herbe est toujours plus courte que 10 cm. De telles pelouses sont très pauvres en organismes vivants.;Sports lawns and meadows with grass that is always shorter than 10 cm. Such lawns are very poor in various living organisms.;Prati sportivi e prati con erba sempre più corta di 10 cm. Tali prati sono molto poveri di vari organismi viventi;
E13a.listTypes.1;Gemüsebeete oder Wildblumen;Potager ou fleurs sauvages;Vegetable garden or wild flowers;Aiuole o fiori selvatici;
E13a.listTypes.2;"Kies, Sand, Ruderalflächen";"Gravier, sable, surface rudérales";;"Ghiaia, sabbia, aree ruderali";
E13a.listTypes.3;Hohes Gras;Hautes herbes;;Erba alta;
E13a.listTypes.4;Sträucher oder Hecken;Buissons ou haies;Bushes or hedges;Arbusti o siepi;
E13a.listTypes.5;Heimische Bäume;Arbres indigènes;Native trees;Alberi autoctoni;
E13a.listTypes.6;Gewässer;Cours d'eau;;Corpi idrici;
E13a.nameDisplay;Verschiedene Pflanzenflächen;Diverses surfaces végétales;Various plant areas;Varie aree vegetali;
E13a.nameListTypes;Pflanzenflächen;Surface végétales;Plant areas;Aree vegetali;
E13a.options.label.0;weniger als 3 Strukturelemente vorhanden;moins de 3 éléments structurels présents;fewer than 3 structural elements present;meno di 3 elementi strutturali presenti;
E13a.options.label.1;"3 - 4 Strukturelemente, wovon eines der Strukturelemente mehr als die Hälfte der ganzen Untersuchungsfläche (= Arealfläche - Gebäudefläche) bedeckt";"3 - 4 éléments structuraux, dont l'un couvre plus de la moitié de la surface totale de l'étude (= surface du site - surface du bâtiment)";"3 - 4 structural elements, one of which covers more than half of the entire study area (= area of the site - area of the building).";"3 - 4 elementi strutturali, uno dei quali copre più della metà  dell'intera area oggetto di studio (= area del sito - area dell'edificio).";
E13a.options.label.2;"3 - 4 Strukturelemente, keines der Strukturelemente bedeckt mehr als die Hälfte der ganzen Untersuchungsfläche";"3 - 4 éléments structuraux, aucun des éléments structuraux ne couvre plus de la moitié de toute la zone d'étude";"3 - 4 structural elements, none of the structural elements covers more than half of the entire study area";"3 - 4 elementi strutturali, nessuno dei quali copre più della metà  dell'intera area oggetto di studio";
E13a.options.label.3;"5 Strukturelemente, wovon eines der Strukturelemente mehr als 40% der ganzen Untersuchungsfläche bedeckt";"5 éléments structuraux, dont un des éléments structuraux couvre plus de 40% de l'ensemble de la zone d'étude";"5 structural elements, of which one of the structural elements covers more than 40% of the entire study area";"5 elementi strutturali, uno dei quali copre più del 40% dell'intera area oggetto di studio";
E13a.options.label.4;"5 Strukturelemente, keines der Strukturelemente bedeckt mehr als 40% der ganzen Untersuchungsfläche";"5 éléments structuraux, aucun des éléments structuraux ne couvre plus de 40% de l'ensemble de la zone d'étude";"5 structural elements, none of the structural elements covers more than 40% of the entire study area";"5 elementi strutturali, nessuno dei quali copre più del 40% dell'intera area oggetto di studio";
E13a.options.label.5;"6 Strukturelemente, wovon eines der Strukturelemente mehr als 30% der ganzen Untersuchungsfläche bedeckt";"6 éléments structurels, dont un des éléments structurels couvre plus de 30% de la surface totale de l'étude";"6 structural elements, of which one of the structural elements covers more than 30% of the entire study area";"6 elementi strutturali, uno dei quali copre più del 30% dell'intera area oggetto di studio";
E13a.options.label.6;"6 Strukturelemente, keines der Strukturelemente bedeckt mehr als 30% der ganzen Untersuchungsfläche";"6 éléments structurels, aucun des éléments structurels ne couvre plus de 30% de l'ensemble de la zone d'étude";"6 structural elements, none of the structural elements covers more than 30% of the entire study area";"6 elementi strutturali, nessuno dei quali copre più del 30% dell'intera area oggetto di studio";
E13a.text;13: Markiere alle vorhandenen Flächen-Elemente in der gezeigten Untersuchungsfläche. Klicken auf «Fläche hinzufügen» zeigt die Liste mit Flächen-Elementen.;13 : coche en bas tous les types de surface présents dans la zone d'étude représentée. Clique sur "Ajouter une surface" pour afficher la liste des éléments de surface.;13: Select all existing area elements in the shown study area. Clicking on Add area displays the list of area elements.;13: Contrassegnare tutti gli elementi di superficie esistenti nell'area d'esame mostrata. Facendo clic su "Aggiungi area" viene visualizzato l'elenco degli elementi dell'area.;
E14.options.label.0;"Keine Bäume vorhanden, die höher als 4 - 5 Meter sind.";Aucun arbre de plus de 4 - 5 mètres n'est présent.;No trees are present that are taller than 4 - 5 metres.;Non sono presenti alberi di altezza superiore a 4 - 5 metri;
E14.options.label.1;Nur 1 Baum vorhanden oder alle Bäume etwa gleich hoch.;Il n'y a qu'un arbre ou alors tous les arbres ont à peu près de la même hauteur;Only 1 tree is present or all trees about the same height.;È presente solo 1 albero o tutti gli alberi hanno circa la stessa altezza;
E14.options.label.2;Bäume in zwei deutlich unterschiedlichen Höhen vorhanden.;Les arbres ont  deux hauteurs nettement différentes;Trees are present in two distinctly different heights.;Sono presenti alberi di due altezze nettamente diverse;
E14.options.label.3;Bäume in drei deutlich unterschiedlichen Höhen vorhanden.;Les arbres ont trois hauteurs nettement différentes;Trees are present in three distinctly different heights.;Gli alberi presenti hanno tre altezze diverse;
E14.text;14: Gibt es auf der Untersuchungsfläche Bäume?;14 : y a-t-il des arbres sur la zone d'étude?;14: Are there any trees in the study area?;14: Ci sono alberi nell'area oggetto di studio?;
E14.textInfo.text.1;"Es zählen nur Bäume, die höher sind als drei erwachsene Menschen, die einander auf den Schultern stehen:";Seuls comptent les arbres plus hauts que trois adultes se tenant sur les épaules:;Only trees taller than three adults standing on each other's shoulders count:;Contano solo gli alberi più alti di tre adulti in piedi l'uno sulle spalle dell'altro:;
E14.textInfo.text.2;Hoher Baum<br> Hohe Bäume bieten Nahrung und Unterschlupf für eine Vielzahl von Lebewesen.;Grand arbre<br> Les grands arbres fournissent de la nourriture et un abri à une multitude d'êtres vivants.;Tall tree;Albero ad alto fusto<br> Gli alberi ad alto fusto forniscono cibo e riparo a diversi organismi viventi.;
E14.textInfo.text.3;heimische Bäume in deutlich unterschiedlichen Höhen;Arbres indigènes de hauteurs nettement différentes;Native trees of significantly different heights;Alberi autoctoni di altezza significativamente diversa;
E14a.options.label.0;Ja;Oui;Yes;Sì;
E14a.options.label.1;Nein;Non;No;No;
E14a.text;14a: Sind insgesamt mindestens 3 verschiedene heimische Baumarten vorhanden?;14a : y a-t-il au moins 3 espèces d'arbres indigènes différentes au total?;14a: Are there at least 3 different native tree species in total?;"14a: In totale, ci sono almeno 3 diverse specie di alberi autoctoni?";
E14b.options.label.0;Ja;Oui;Yes;Sì;
E14b.options.label.1;Nein;Non;No;No;
E14b.text;14b: Haben mindestens zwei der Bäume einen Umfang von mehr als 2 Metern?;14b : est-ce qu'au moins deux des arbres ont une circonférence supérieure à 2 mètres?;Do at least two of the trees have a circumference of more than 2 metres?;14b: Almeno due degli alberi hanno una circonferenza superiore a 2 metri?;
E15.options.label.0;Keine Sträucher oder nur vereinzelte Sträucher vorhanden.;Aucun buisson ou seulement des buissons isolés sont présents;No shrubs or only isolated shrubs present.;Non sono presenti arbusti o solo arbusti isolati;
E15.options.label.1;Überwiegend nicht-heimische Sträucher vorhanden.;Prédominance de buissons non indigènes;Predominantly non-native shrubs present.;Sono presenti prevalentemente arbusti non autoctoni;
E15.options.label.2;1-3 Gruppen aus mindestens 5 Sträuchern vorhanden. Die meisten dieser Sträucher sind heimisch.;Présence de 1 à 3 groupes d'au moins 5 buissons. La plupart de ces buissons sont indigènes;1 - 3 groups of at least 5 shrubs present. Most of these shrubs are native.;Sono presenti 1-3 gruppi di almeno 5 arbusti. La maggior parte di questi arbusti sono autoctoni.;
E15.options.label.3;Mehr als 3 Gruppen aus mindestens 5 Sträuchern vorhanden. Die meisten dieser Sträucher sind heimisch.;Plus de 3 groupes d'au moins 5 buissons présents. La plupart de ces buissons sont indigènes;More than 3 groups of at least 5 shrubs present. Most of these shrubs are native.;Più di 3 gruppi di almeno 5 arbusti presenti. La maggior parte di questi arbusti sono autoctoni.;
E15.text;15: Gibt es auf der Untersuchungsfläche Gruppen aus mindestens 5 Sträuchern?;15 : y a-t-il des bosquets d'au moins 5 buissons sur la zone d'étude?;15: Are there groups of at least 5 shrubs in the study area?;15: Ci sono gruppi di almeno 5 arbusti nell'area di studio?;
E15.textInfo.text.1;"Vögel bauen ihre Nester gerne in Gruppierungen von heimischen Sträuchern. Auch kleine Säugetiere wie Mäuse, Schläfer oder Wiesel finden in Strauchgruppen Versteck und Nahrung. Gruppe von heimischen Sträuchern";"Les oiseaux aiment construire leurs nids dans des bosquets de buissons indigènes. Les petits mammifères comme les musaraignes, les mulots, les loirs ou les belettes trouvent également des cachettes et de la nourriture dans les bosquets de buissons. Ensemble de buissons indigènes";"Birds like to build their nests in groupings of native shrubs. Small mammals such as mice, dormice or weasels also find hiding places and food in groupings of shrubs. Group of native shrubs";"Gli uccelli amano costruire i loro nidi in gruppi di arbusti autoctoni. Anche i piccoli mammiferi, come topolini, quercini o donnole, trovano nascondigli e cibo in gruppi di arbusti. Gruppo di arbusti autoctoni";
E15a.options.label.0;Ja;Oui;Yes;Sì;
E15a.options.label.1;Nein;Non;No;No;
E15a.text;15a: Insgesamt mehr als 5 verschiedene heimische Straucharten.;"15a : au total, plus de 5 espèces différentes de buissons indigènes";15a: More than 5 different native shrub species in total.;"15a: In totale, più di 5 specie diverse di arbusti autoctoni";
E16.options.label.0;Keine Hecke vorhanden.;Aucune haie présente.;No hedge present.;Nessuna siepe presente;
E16.options.label.1;Hecken vorhanden. Die Hecken bestehen aber überwiegend aus nicht-heimische Sträuchern.;Présence de haies. Mais les haies sont principalement composées de buissons non indigènes.;"Hedges are present. However, the hedges consist mainly of non-native shrubs.";"Siepi presenti. Tuttavia, le siepi sono costituite principalmente da arbusti non autoctoni";
E16.options.label.2;Eine Hecke von mindestens 4 Meter Länge. Die meisten der Sträucher der Hecke sind heimisch.;Une haie d'au moins 4 mètres de long. La plupart des buissons de la haie sont indigènes.;A hedge of at least 4 metres in length. Most of the shrubs in the hedge are native.;Una siepe di almeno 4 metri di lunghezza. La maggior parte degli arbusti della siepe sono autoctoni.;
E16.options.label.3;Mehr als eine Hecke von mindestens 4 Meter Länge. Die meisten der Sträucher der Hecke sind heimisch.;Plus d'une haie d'au moins 4 mètres de long. La plupart des buissons de la haie sont indigènes;More than one hedge of at least 4 metres in length. Most of the shrubs in the hedge are native.;Più di una siepe di almeno 4 metri di lunghezza. La maggior parte degli arbusti della siepe sono autoctoni.;
E16.text;16: Gibt es auf der Untersuchungsfläche Hecken?;16 : y a-t-il des haies sur le site d'étude?;16: Are there hedges on the study site?;16: Ci sono siepi nell'area oggetto di studio?;
E16.textInfo.text.1;"Hecke mit heimischen Sträuchern bieten Tieren nicht nur ein Versteck, sondern auch Nahrung: Nektar und Pollen für Insekten, Früchte für Vögel und kleine Säugetiere. Im Unterschied dazu bieten Hecken aus gebietsfremden Pflanzen kaum Nahrung.";"Les haies composées de buissons indigènes offrent aux animaux non seulement une cachette, mais aussi de la nourriture: nectar et pollen pour les insectes, fruits pour les oiseaux et les petits mammifères. En revanche, les haies composées de plantes exotiques n'offrent que peu de nourriture.";"Hedges with native shrubs offer animals not only a hiding place, but also food: nectar and pollen for insects, fruits for birds and small mammals. In contrast, hedges of non-native plants offer little food.";"Le siepi con arbusti autoctoni offrono agli animali non solo un nascondiglio, ma anche cibo: nettare e polline per gli insetti, frutti per uccelli e piccoli mammiferi. Al contrario, le siepi di arbusti non autoctoni offrono poco cibo.";
E16.textInfo.text.2;"Hecke aus Kirschlorbeer, ein schädlicher gebietsfremder Strauch";"Haie de laurier-cerise, un buisson exotique invasif";"Hedge of cherry laurel, a harmful non-native shrub";"Siepe di lauroceraso, un arbusto dannoso non autoctono";
E16a.options.label.0;Ja;Oui;Yes;Sì;
E16a.options.label.1;Nein;Non;No;No;
E16a.text;16a: In der Hecke sind insgesamt mehr als 5 verschiedene heimische Straucharten vorhanden.;"16a : au total, plus de 5 espèces différentes de buissons indigènes sont présentes dans la haie";"16a: In total, more than 5 different native shrub species are present in the hedge.";"16a: In totale, nella siepe sono presenti più di 5 diverse specie di arbusti autoctoni.";
E16b.options.label.0;Ja;Oui;Yes;Sì;
E16b.options.label.1;Nein;Non;No;No;
E16b.text;16b: Eine Hecke ist mindestens 2 Meter breit und 10 Meter lang.;16b : une haie mesure au moins 2 mètres de large et 10 mètres de long;16b: A hedge is at least 2 metres wide and 10 metres long.;16b: Una siepe è larga almeno 2 metri e lunga 10 metri;
E17.options.label.0;"Bäume, Sträucher und heimische Kräuter, Blumen oder Gräser sind nirgends zusammen anzutreffen.";"Les arbres, les les buissons et les herbes, fleurs ou graminées indigènes ne se trouvent nulle part ensemble";"Trees, shrubs and native herbs, flowers or grasses are nowhere to be found together.";"Gli alberi, gli arbusti e le erbe, i fiori o le erbe autoctone non si trovano insieme da nessuna parte";
E17.options.label.1;"Zwei der drei Elemente (1. Bäume, 2. Sträucher und 3. heimische Kräuter, Blumen oder Gräser) kommen zusammen vor. Alle drei Elemente kommen jedoch nirgends alle zusammen vor.";"Deux des trois éléments (1. arbres, 2. buissons et 3. herbes, fleurs ou graminées indigènes) sont présents ensemble. Les trois éléments n'apparaissent toutefois nulle part ensemble.";"Only two of the three elements (1. trees, 2. shrubs and 3. native herbs, flowers or grasses) occur together. However, all three elements do not occur together anywhere.";"Due dei tre elementi (1. alberi, 2. arbusti e 3. erbe, fiori o erbe autoctone) si trovano insieme. Tuttavia, tutti e tre gli elementi non si trovano insieme da nessuna parte.";
E17.options.label.2;"Bäume, Sträucher und heimische Kräuter, Blumen oder Gräser kommen alle zusammen an einer Stelle vor.";"Les arbres, les buissons et les herbes, fleurs ou graminées indigènes apparaissent tous ensemble au même endroit";"Trees, shrubs and native herbs, flowers or grasses all appear together in one place.";"Gli alberi, gli arbusti e le erbe, i fiori o le erbe autoctone si trovano tutti insieme nello stesso luogo";
E17.options.label.3;"Bäume, Sträucher und heimische Kräuter, Blumen oder Gräser kommen alle zusammen an mehr als einer Stelle vor.";"Les arbres, les buissons et les herbes, fleurs ou graminées indigènes apparaissent tous ensemble à plus d'un endroit";"Trees, shrubs and native herbs, flowers or grasses all occur together in more than one place.";"Alberi, arbusti ed erbe, fiori o erbe autoctone si trovano tutti insieme in più di un luogo.";
E17.text;"17: Sind Bäume, Sträucher und heimische Kräuter, Blumen oder Gräser zusammen an einem Ort anzutreffen?";"17 : peut-on trouver des arbres, des buissons et des herbes, fleurs ou graminées indigènes ensemble dans un même lieu?";"17: Are trees, shrubs and native herbs, flowers or grasses found together in one place?";"17: Gli alberi, gli arbusti e le erbe, i fiori o le graminacee autoctone si trovano insieme in un unico luogo?";
E17.textInfo.text.1;"Kommen unterschiedliche Elemente wie Bäume, Sträucher sowie Kräuter, Gräser und Blumen alle an der gleichen Stelle vor, so finden auch mehr Lebewesen einen Lebensraum mit Nahrung und Versteck. Deshalb ist es wichtig, dass Bäume, Sträucher und Kräuter an manchen Stellen zusammen vorkommen: <br> Kräuter, Gräser und Blumen unter Bäumen";"Si différents éléments comme les arbres, les buissons ainsi que les herbes, les graminées et les fleurs se trouvent tous au même endroit, davantage d'êtres vivants trouveront un habitat avec de la nourriture et des cachettes. C'est pourquoi il est important que les arbres, les buissons et les herbes soient présents ensemble à certains endroits: <br> herbes, graminées et fleurs sous les arbres";"Trees, shrubs and native herbs, flowers or grasses all occur together in more than one place.";"Se elementi diversi come alberi, arbusti, erbe e fiori si trovano tutti nello stesso luogo, un maggior numero di esseri viventi troverà  un habitat con cibo e nascondigli. Per questo è importante che alberi, arbusti ed erbe siano presenti insieme in determinati luoghi: erbe, erbe e fiori sotto gli alberi";
E17.textInfo.text.2;Krautsaum unter Sträuchern;Bordure herbacée proche des buissons.;Herbaceous border under shrubs;Bordo erbaceo sotto gli arbusti;
E17.textInfo.text.3;Sträucher zusammen mit Bäumen;Buissons avec arbres;Shrubs together with trees;Arbusti insieme ad alberi;
E17.textInfo.text.4;"alle drei Elemente (Bäume, Sträucher und heimische Kräuter, Blumen oder Gräser) an derselben Stelle";"les trois éléments (arbres, buissons et herbes, fleurs ou graminées indigènes) au même endroit";"all three elements (trees, shrubs and native herbs, flowers or grasses) in the same place";"tutti e tre gli elementi (alberi, arbusti ed erbe, fiori o erbe autoctone) nello stesso luogo";
E18.options.label.0;Keine Ruderalfläche vorhanden.;Aucune zone rudérale n'est présente;No ruderal area is present.;Non sono presenti aree ruderali;
E18.options.label.1;Ruderalfläche vorhanden. Darin kommen aber schädliche gebietsfremden Pflanzen vor..;Présence d'une zone rudérale. Mais des plantes exotiques invasives y sont présentes.;"Ruderal area is present. However, harmful non-native plants occur in this area.";"è presente un'area ruderale. Tuttavia, sono presenti piante non autoctone dannose.";
E18.options.label.2;Ruderalfläche ist insgesamt etwa so gross wie zwei Autoparkplätze.;La surface rudérale est au total à peu près de la taille de deux places de parc pour voitures;Ruderal area is in total about the size of two car parking spaces.;L'area ruderale è complessivamente grande quanto due posti auto.;
E18.options.label.3;Ruderalfläche ist insgesamt etwa so gross wie vier Autoparkplätze.;La superficie totale de la zone rudérale est à peu près égale à celle de deux places de parc pour voitures.;Ruderal area is in total about the size of two car parking spaces.;L'area ruderale è complessivamente grande quanto quattro posti auto.;
E18.options.label.4;Ruderalfläche ist insgesamt grösser als vier Autoparkplätze.;La surface rudérale est au total plus grande que quatre places de parc pour voitures;Ruderal area is altogether larger than four car parking spaces.;L'area ruderale è complessivamente più grande di quattro posti auto;
E18.text;18: Gibt es auf der Untersuchungsfläche Ruderalflächen mit passenden heimischen Pflanzen?;18 : y a-t-il des zones rudérales avec des plantes indigènes appropriées sur le site d'étude?;18: Are there ruderal areas with suitable native plants on the study site?;18: Nel sito di studio sono presenti aree ruderali con piante autoctone adatte?;
E18.textInfo.text.1;Ruderalflächen sind offene Bodenflächen auf denen keine Pflanzen angepflanzt wurden. Beispiele von Ruderalflächen:;Les surfaces rudérales sont des surfaces au sol ouvertes sur lesquelles aucune plante n'a été plantée. Exemples de surfaces rudérales:;Ruderal areas are open ground areas where no plants have been planted. Examples of ruderal areas:;Le aree ruderali sono aree di terreno aperto in cui non sono state messe delle piante. Esempi di aree ruderali:;
E18.textInfo.text.2;Flächen mit Geröll;Surface avec cailloux;Areas with boulders;Aree con massi;
E18.textInfo.text.3;"Kiesflächen, die nicht als Parkplatz genutzt werden";Surfaces gravillonnées qui ne sont pas utilisées comme places de stationnement;Gravel areas that are not used as parking spaces;Aree ghiaiose non utilizzate come parcheggi;
E18.textInfo.text.4;Sandflächen ohne Sprunggrube für Sport;Surface de sable sans fosse de saut pour le sport;Sand areas without jumping pit for sports;Aree sabbiose senza vasca per il salto in lungo;
E18.textInfo.text.5;Ruderalflächen bieten ein Zuhause für ganz spezielle Pflanzen und Tiere.;Les zones rudérales abritent des plantes et des animaux très particuliers;Ruderal areas provide a home for very special plants and animals.;Le aree ruderali ospitano piante e animali molto speciali;
E19.options.label.0;Keine Trockenmauern oder Steinhaufen vorhanden.;Aucun mur de pierres sèches ou tas de pierres n'est présent;No dry stone walls or piles of rocks present.;Non sono presenti muri a secco o cumuli di rocce;
E19.options.label.1;1 Trockenmauer oder Steinhaufen vorhanden.;1 mur de pierres sèches ou tas de pierres présents;1 dry stone wall or pile of rocks present.;È presente un muro a secco o un cumulo di rocce.;
E19.options.label.2;2 Trockenmauern oder Steinhaufen vorhanden.;2 murs de pierres sèches ou tas de pierres présents;2 dry stone walls or pile of rocks present.;2 muri a secco o cumuli di rocce presenti.;
E19.options.label.3;Mehr als 2 Trockenmauern oder Steinhaufen vorhanden.;Plus de 2 murs de pierres sèches ou tas de pierres présents;More than 2 dry stone wall or pile of rocks present.;Più di 2 muretti a secco o cumuli di rocce presenti.;
